subject,obj1,obj2,obj3,obj4,obj5,obj6,obj7,obj8,obj9,obj10,obj11,obj12,obj13,obj14,obj15,obj16,obj17,obj18,obj19
sun_ahijqszoswveeyji.png,bathtub,cabinet,mirror,phone,shower door,sink,towel,towel rack,trash can,window,,,,,,,,,
sun_ahqjwnzgolcaoidx.png,cabinet,curtain,door,shelf,toilet,toilet paper holder,towel,towel rack,toy,window,,,,,,,,,
sun_ajlawzvmubibwbpy.png,bathtub,cabinet,candle,curtain,faucet,mirror,radiator,sink,towel,towel rack,vase,window,,,,,,,
sun_akiytfaagpdsphgz.png,bathtub,cabinet,countertop,faucet,plant,shower,sink,toilet,toilet paper holder,vase,window,,,,,,,,
sun_aleqenyvunhactkl.png,bathtub,chair,curtain,faucet,pipe,shelf,sink,soap,toilet,toilet paper,window,,,,,,,,
sun_aljolscmmzydegqp.png,basket,bathtub,blind,bottle,cabinet,container,faucet,mirror,plant,pot,shell,sink,soap dish,toilet,toothbrush holder,towel,vase,,
sun_alkosphxlxwjwgjd.png,faucet,flower arrangement,lamp,mirror,shower,shower door,sink,soap dispenser,toilet,toilet paper,vanity,window,,,,,,,
sun_alotolagknyrgtsk.png,bathtub,cabinet,light,shower,sink,window,,,,,,,,,,,,,
sun_ambriybtogmepttm.png,artwork,chair,faucet,light,shelf,sink,vanity,vase,,,,,,,,,,,
sun_amzlamotzwfkwjco.png,cabinet,faucet,mirror,plant,sink,stool,vase,window,,,,,,,,,,,
sun_anhioqovhscjqqwb.png,blinds,floor tile,shelf,shower,sink,soap,toilet,toilet brush,toilet roll holder,toothbrush,towel,tub,vase,,,,,,
sun_anryaplzeujmzfkd.png,bathtub,blind,cabinet,rug,scale,shelving unit,shower,toilet,towel,vase,,,,,,,,,
sun_aofnryafpsjimzsb.png,bath tub,closet,curtain,hanger,light fixture,mirror,picture frame,plant,shirt,shower,showerhead,soap dish,toilet,towel,towel bar,vase,window,,
sun_aoybiabnpadelefl.png,artwork,bathtub,cabinet,faucet,light,mirror,shower,showerhead,sink,,,,,,,,,,
sun_apeeialkgkuxddgh.png,door,faucet,lamp,mirror,rug,shelf,shower,shower curtain,sink,tile,toothbrush,toothbrush holder,towel,trash can,tub,,,,
sun_apjevzvycyhuqghb.png,bathtub,cabinet,countertop,faucet,flower,lamp,mirror,picture frame,shower,towel,vase,window,,,,,,,
sun_apkruvsevgegsdwp.png,bathtub,bathtub mixer,bidet,curtain rod,dispenser,faucet,mirror,shelf,shower head,sink,soap dish,soap dispenser,toilet,toilet brush holder,towel rack,window
sun_apkxzenqapsujocq.png,bathtub,faucet,shower curtain,sink,toilet,,,,,,,,,,,,,,
sun_apmqjbnwghzuhhzh.png,basket,bottle,faucet,figurine,light bulb,mirror,picture frame,shelf,shower,sink,soap dispenser,toilet,toilet paper holder,towel,towel ring,,,,
sun_apynckhmoftszqoq.png,bathtub,cup,mat,shelf,shower curtain,sink,toilet,toothbrush,trash can,window,,,,,,,,,
sun_aqrpegblszgcoujh.png,bathtub,blind,cabinet,clock,faucet,plant,scale,shower,toilet,vase,window,,,,,,,,
sun_asfwthctfqerjvxr.png,bidet,curtain,faucet,glass,hook,mirror,robe,sink,soap dish,toilet,towel,towel rack,,,,,,,
sun_aspsyogrekjtfozg.png,bathtub,cabinet,chandelier,faucet,mirror,sconce,sculpture,sink,soap dispenser,tissue box,towel,towel rack,window,,,,,,
sun_atstyziqcmkahyxk.png,bathtub,faucet,mirror,shelf,shower curtain,sink,soap,sponge,toilet,,,,,,,,,,
sun_aunuadmjocsddsrl.png,basket,bottle,cabinet,lamp,sink,soap dispenser,toilet,toilet paper holder,towel,trash can,window,,,,,,,,
sun_ausgutylgojavyoq.png,bottle,faucet,flower,lamp,mirror,shower,shower curtain,sink,towel,,,,,,,,,,
sun_auzqhkafidnkrwmo.png,bathtub,cabinet,chair,curtain,faucet,picture,plant,shower,toilet,window,,,,,,,,,
sun_avhrdrntsqrjzccq.png,bathtub,cabinet,faucet,mirror,sculpture,shower,showerhead,sink,vase,,,,,,,,,,
sun_awnqiikzaispgmwo.png,basket,bath mat,bathtub,picture frame,rack,roll of toilet paper,shower curtain,shower head,toilet,,,,,,,,,,
sun_axldvoqbuvuggfmq.png,cup,faucet,jar,lamp,lotion bottle,shower door,sink,toilet bowl,toilet paper,toilet paper roll,toothbrush,towel,towel rack,tube,,,,,
sun_axxbkopsgyouuebh.png,bathtub,cabinet,faucet,mirror,shower curtain,sink,toilet,toilet paper holder,toilet seat,trash can,,,,,,,,,
sun_axyrejkiiaqiurjk.png,bathtub,box,cabinet,curtain,faucet,lamp,mirror,shelf,shower head,sink,stool,table,towel,towel rack,,,,,
sun_azqyogdvyhahyram.png,bathtub,curtain,mirror,radiator,showerhead,sink,toilet,toilet paper holder,towel rack,window,,,,,,,,,
